基金代码,基金名称
,中信建投国家电投
,华夏南京交通高速
,华夏华电清洁能源
,汇添富上海地产租
508018,华夏中国交建REIT
,国泰海通东久新经
,易方达广开产园RE
,国泰海通城投宽庭
,嘉实中国电建清洁
,中金印力消费REIT
508001,浙商沪杭甬REIT
,南方万国数据中心
,易方达深高速REIT
180801,中航首钢绿能REIT
,广发成都高投产业
508010,中金重庆两江REIT
180502,华夏特变电工新能
508058,中金厦门安居REIT
,易方达华威市场RE
508019,中金湖北科投光谷
508099,华夏金隅智造工场
,招商基金蛇口租赁
,南方润泽科技数据
180501,红土创新深圳安居
,工银河北高速REIT
,汇添富九州通医药
180103,华安张江产业园RE
180101,博时蛇口产园REIT
,招商高速公路REIT
,华夏大悦城商业RE
180602,嘉实物美消费REIT
,华泰苏州恒泰租赁
180202,华夏越秀高速REIT
,中金中国绿发商业
,华夏和达高科REIT
,中银中外运仓储物
508012,中金联东科创REIT
508099,建信中关村REIT
180501,华夏北京保障房RE
508009,中金安徽交控REIT
,华夏中核清洁能源
,中金亦庄产业园RE
,华夏首创奥莱REIT
,华泰宝湾物流REIT
508006,富国首创水务REIT
508008,国金中国铁建REIT
180501,华夏基金华润有巢
,华安百联消费REIT
180201,平安广州广河REIT
,平安宁波交投REIT
,中信建投沈阳国际
,招商科创REIT
180802,中航京能国际能源
,创金合信首农REIT
,华泰南京建邺REIT
180102,华夏合肥高新REIT
508056,华泰江苏交控REIT
,国泰海通济南能源
,华夏中海商业REIT
180401,南方顺丰物流REIT
,工银蒙能清洁能源
,中金山东高速REIT
180801,中航易商仓储物流
,嘉实京东仓储基础
,中信建投明阳智能
,银华绍兴原水水利
,华夏安博仓储REIT
,华夏深国际REIT
,华夏金茂商业REIT
,国泰海通临港创新
508027,东吴苏园产业REIT
,华安外高桥REIT
508056,中金普洛斯REIT
180401,鹏华深圳能源REIT
180601,华夏华润商业REIT
,博时津开产园REIT
180301,红土创新盐田港RE
,中金唯品会奥莱RE
,华夏凯德商业REIT
